sentence,tag_3,tag_7
আরথ্রোপোডা পর্বের সবচেয়ে বড় প্রাণীগুলোর একটি তখন সম্ভবত এটিই ছিল সবচেয়ে বড় সামুদ্রিক প্রাণী,positive,mildly positive
জনপ্রিয় প্রযুক্তিপণ্য নির্মাতা প্রতিষ্ঠান অ্যাপলের অ্যাপ স্টোর এবং আইটিউনস ব্যবহারের ক্ষেত্রে সমস্যায় পড়েছেন গ্রাহকেরা।,negative,mildly negative
 লাখো অ্যাপল ব্যবহারকারী অ্যাপ স্টোর এবং আইটিউনস সেবা ব্যাহত হওয়ার ফলে এ সেবাগুলো ব্যবহারের ক্ষেত্রে সমস্যায় পড়েছেন।,negative,negative
 এ নিয়ে সামাজিক যোগাযোগ মাধ্যমে তুমুল সমালোচনার মুখে পড়তে হয়েছে অ্যাপলকে।,negative,strongly negative
এসব সেবার পাশাপাশি আইক্লাউডে প্রবেশের ক্ষেত্রেও সমস্যায় পড়তে হয়েছে ব্যবহারকারীদের। ,negative,negative
 এ সমস্যার ফলে অ্যাপল অ্যাপ স্টোর এবং আইটিউনস প্রায় ৪০ লাখ ডলারের ক্ষতির মুখে পড়েছে বলে জানা গেছে।,negative,mildly negative
"পুরো সেবা ব্যাহত হওয়ার ফলে ব্যবহারকারীরা নতুন অ্যাপ নামানো, ইনস্টল করা, গান কিংবা ভিডিও কেনা ইত্যাদি করতে পারেননি।",negative,mildly negative
এ সমস্যাটি যুক্তরাজ্যের সময় অনুযায়ী সকাল নয়টায় শুরু হয়।,neutral,neutral
সেবা ব্যাহত হওয়ার এ ঘটনায় গ্রাহকদের কাছে ক্ষমা চেয়েছে অ্যাপল কর্তৃপক্ষ।,positive,positive
আমরা ইতিমধ্যে সমস্যাটি চিহ্নিত করে সেটি সমাধানের ব্যাপারে উদ্যোগও নিয়েছি খুব দ্রুত।,positive,mildly positive
"সময়ের হিসাব অনুযায়ী, সমস্যাটি সমাধান করে ফেলায় বিশ্বের অনেক দেশে অবশ্য গ্রাহকদের তেমন সমস্যায় পড়তে হয়নি।",positive,mildly positive
"আধুনিক জীবনে বিভিন্ন তথ্যের সন্ধানে দিন-রাতের অনেকটা সময় কাটে অনলাইনে, হোক সেটা কম্পিউটার বা মোবাইল যন্ত্রে।",neutral,neutral
বেশির ভাগ মানুষই তথ্যানুসন্ধানের এ কাজটা করেন গুগলের মাধ্যমে।,neutral,neutral
"অনেক সময় ব্যক্তিগত কিছু বিষয়ে অনুসন্ধান চালানোর পর সেটা যেন অন্য কেউ দেখতে না পারেন, সেটা চান অনেকেই।",neutral,positive
যদিও গুগলের মাধ্যমে তথ্য খোঁজার প্রতিটি বিষয় সংরক্ষিত থাকে এবং এটার চিহ্ন থেকেই যায়।,negative,mildly negative
"তথ্য খোঁজার এ বিষয়টি যদি বিব্রতকর মনে হয় বা যদি চান নিজের কম্পিউটার বা মোবাইলে গুগলের মাধ্যমে যেসব তথ্য খোঁজা হয়েছে সেটা আর কেউ না-জানুক, তাহলে তারও ব্যবস্থা আছে।",positive,mildly positive
এ ক্ষেত্রে নিজের গুগল অনুসন্ধান সেবার হিস্ট্রি বা ইতিহাস মুছে ফেলে কাজটা করা যায়।,neutral,neutral
চলতি হিস্ট্রি পাতায় অবশ্য সকল তথ্য দৃশ্যমান থাকবে না।,negative,mildly negative
 এভাবে বারবার ক্লিক করে তথ্য মোছার কাজটা বিরক্তিকর মনে হতে পারে।,negative,mildly negative
 এখান থেকে গ্রাহকেরা তাঁদের পছন্দের যন্ত্র ব্যবহারের অভিজ্ঞতা নিতে পারবেন। ,positive,mildly positive
"অনুষ্ঠানে জানানো হয়, স্বাধীনতার মাস ও বাংলা নববর্ষ উপলক্ষে যেকোনো অ্যালকাটেল পণ্য কিনলে ৪ শতাংশ ছাড় পাওয়া যাবে।",positive,mildly positive
তরঙ্গ নিলামের আগে মোবাইল কোম্পানিগুলোর নিষ্পত্তি না হওয়া বিষয়গুলো সমাধানে বৈঠকে বসতে অর্থমন্ত্রীকে চিঠি দিয়েছে বাংলাদেশ টেলিযোগাযোগ নিয়ন্ত্রণ কমিশন (বিটিআরসি)।,neutral,neutral
আজ বৃহস্পতিবার এ চিঠি দেওয়া হয় বলে বিটিআরসি ও অর্থ মন্ত্রণালয়ের সূত্র নিশ্চিত করেছে।,neutral,neutral
"১ মার্চ দেশের শীর্ষ চারটি মোবাইল কোম্পানির বিনিয়োগকারী প্রতিষ্ঠানের পক্ষ থেকে সরকারকে পাঠানো এক চিঠিতে বলা হয়, ঝুলে থাকা সমস্যার সমাধান না করা হলে আগামী ৩০ এপ্রিলের তরঙ্গ নিলামে তাদের এ-দেশীয় অপারেটররা অংশ নেবে না।",negative,mildly negative
"   ওই চিঠিতে সই করেন গ্রামীণফোনের পক্ষে টেলিনরের প্রেসিডেন্ট ও গ্রুপ প্রধান নির্বাহী কর্মকর্তা (সিইও) জন ফ্রেডরিক বাকসাস, রবির পক্ষে আজিয়াটা গ্রুপ বারহাদের প্রেসিডেন্ট ও গ্রুপ সিইও দাতো শ্রি জামালউদ্দিন ইব্রাহিম, বাংলালিংকের পক্ষে ভিম্পেলকমের সিইও জো লানডার, এয়ারটেল বাংলাদেশের পক্ষে ভারতী এয়ারটেলের চেয়ারম্যান সুনীল মিত্তাল।",neutral,neutral
নিলামে তরঙ্গ বিক্রি না হলে কমপক্ষে পাঁচ হাজার কোটি টাকার রাজস্ব হারানোর ঝুঁকিতে রয়েছে সরকার।,negative,mildly negative
"চিঠিতে বলা হয়, ২০১৩ সালে তৃতীয় প্রজন্মের (থ্রিজি) তরঙ্গ নিলামের সময় সরকারের পক্ষে বিটিআরসি কয়েকটি সমস্যা সমাধানে অপারেটরদের প্রতিশ্রুতি দিয়েছিল।",positive,mildly positive
"   সমস্যাগুলোর মধ্যে উল্লেখযোগ্য হলো সিমকার্ড প্রতিস্থাপন কর-সংক্রান্ত মামলার সমাধান, নিলামে বিক্রি হওয়া তরঙ্গমূল্যের ওপর ধার্য করা মূল্য সংযোজন কর (ভ্যাট) প্রত্যাহার, বিদ্যমান টেলিযোগাযোগ আইন সংস্কার, তরঙ্গ ব্যবহারে স্বাধীনতা নিশ্চিত করা, কর কাঠামোর সংস্কার প্রভৃতি।",neutral,neutral
উল্লিখিত সমস্যাগুলোর একটিও এখন পর্যন্ত সমাধান করা হয়নি।,negative,negative
  তাই তরঙ্গ নিলামে অংশ নিয়ে নতুন করে বিনিয়োগে যাওয়ার বিষয়ে ইতিবাচক সিদ্ধান্ত নেওয়া কঠিন।,negative,mildly negative
 মোবাইল অপারেটরদের পাঠানো ওই চিঠির পরিপ্রেক্ষিতে তরঙ্গ নিলামের বিষয়টি অনেকটাই অনিশ্চিত হয়ে যায়।,negative,mildly negative
 সে পরিপ্রেক্ষিতে বিটিআরসির পক্ষ থেকে আজ এ চিঠি পাঠানো হয় বলে নিয়ন্ত্রক সংস্থাটির সূত্র জানিয়েছে।,neutral,neutral
সিম প্রতিস্থাপন কর-সংক্রান্ত বিষয়টি সমাধান না হওয়াকে বিশেষভাবে উল্লেখ করে এটি সমাধান না হওয়ায় হতাশা প্রকাশ করে কোম্পানিগুলো।,negative,strongly negative
শুক্র গ্রহ বা শুকতারার নতুন কিছু ছবি প্রকাশ করা হয়েছে।,neutral,neutral
 মেঘের আচ্ছাদন থেকে মুক্ত ছবিগুলো সেখানকার ভৌগোলিক গঠন সম্পর্কে তুলনামূলক স্পষ্ট ধারণা দেয়।,positive,mildly positive
 এতে জ্যোতির্বিদেরা গ্রহটির ব্যতিক্রমী পৃষ্ঠতল নিয়ে বিস্তারিত গবেষণার সুযোগ পাবেন বলে আশা করা হচ্ছে।,positive,mildly positive
" শুকতারাকে কখনো কখনো ‘পৃথিবীর বোন’ বলা হয় কারণ, দুটি গ্রহের আকার, ভর, গঠন এবং সূর্য থেকে তাদের দূরত্ব প্রায় সমান।",positive,mildly positive
তবে তাদের বৈশিষ্ট্যে অনেক পার্থক্য রয়েছে।,negative,mildly negative
" সৌরজগতের মধ্যে পৃথিবীসহ কাছাকাছি চারটি গ্রহের মধ্যে শুকতারার আবহমণ্ডল সবচেয়ে ঘন, যার ৯৬ শতাংশই কার্বন ডাই-অক্সাইড।",neutral,neutral
ছোট ও উষ্ণ গ্রহ হিসেবে পরিচিত এই গ্রহে রয়েছে সালফিউরিক অ্যাসিড সমৃদ্ধ উজ্জ্বল মেঘরাশি।,neutral,neutral
 মহাশূন্য থেকে পৃথিবীর পৃষ্ঠতল নিয়মিত দেখা গেলেও শুক্র গ্রহ সব সময়ের জন্যই একধরনের প্রতিফলক বর্মে ঘেরা থাকে,negative,mildly negative
"কিন্তু সম্প্রতি একদল বিজ্ঞানী দুটি মানমন্দিরের রাডারভিত্তিক সমন্বিত সামর্থ্য কাজে লাগিয়ে মহাকাশ দূরবীক্ষণযন্ত্রের (স্পেস টেলিস্কোপ) সাহায্যে শুক্র গ্রহের বিশেষ ধরনের ছবি তুলতে সমর্থ হয়েছেন, যা থেকে গ্রহটির পৃষ্ঠতলের উল্লেখযোগ্য বিবরণ পাওয়া যেতে পারে।",positive,mildly positive
"নবায়নযোগ্য জ্বালানি ব্যবহার করেও যে দূরপাল্লার আকাশযাত্রা সম্ভব, তা প্রমাণ করতেই সৌরবিমানটির এই অভিযান।",positive,mildly positive
আরশোলা বা তেলাপোকা বলে তুচ্ছ মনে করার সুযোগ নেই,positive,mildly positive
"গবেষণায় দেখা যায়, কোনো তেলাপোকা আলো এড়িয়ে দ্রুত কোনো আশ্রয়ে জায়গা করে নিতে পারলে সঙ্গীদেরও একই কাজে অনুপ্রাণিত করে",positive,mildly positive
অবশ্য প্রতিটি তেলাপোকাই স্বতন্ত্র পছন্দের ভিত্তিতে সিদ্ধান্ত নিতে পারে।,positive,mildly positive
বাংলা ভাষাকে সমৃদ্ধ করতে গুগল ট্রান্সলেটে যুক্ত হলো নতুন ৩ লাখ ২৪ হাজার ৯৭৪টি শব্দ।,positive,positive
